GpuName,Price
NVIDIA Quadro FX 3800,76.0
NVIDIA GeForce 9300 GS,289.0
ATI Radeon HD 3300 IGP,139.0
Intel Iris Graphics 6100,489.0
AMD Radeon RX 580 2048SP,109.0
AMD Radeon HD 7610M,74.0
AMD Radeon R7 M460,209.0
AMD Radeon RX Vega 64 Liquid Cooling,159.0
AMD Radeon Pro 580,609.0
AMD Radeon R9 ?o,79.0
NVIDIA NVS 300,39.0
NVIDIA Quadro P400,89.0
Intel HD Graphics 520,188.0
NVIDIA Quadro K4200,153.0
NVIDIA Quadro 6000,389.0
NVIDIA GeForce GTX 1050 3 GB Max-Q,60.0
AMD Radeon R5 430 OEM,299.0
NVIDIA Quadro P5000 Mobile,420.0
NVIDIA Quadro RTX 6000,2280.0
AMD Radeon Vega Frontier Edition,599.0
AMD Radeon Pro Vega 48,1805.0
AMD Radeon R5 M320,299.0
NVIDIA Quadro K1100M,588.0
AMD Radeon R9 260 OEM,299.0
NVIDIA GeForce 7900 GTX,60.0
NVIDIA Quadro 5000,999.0
AMD Radeon HD 6930,60.0
NVIDIA Quadro 400,65.0
AMD FirePro M5100,119.0
NVIDIA GeForce G102M,424.0
NVIDIA GeForce GT 220M,424.0
NVIDIA GeForce 510 OEM,440.0
NVIDIA GeForce 8800 GTS 512,60.0
NVIDIA GeForce GT 340 OEM,60.0
NVIDIA GeForce GTX 295,60.0
NVIDIA GeForce GTX 560 Ti 448,139.0
NVIDIA GeForce 840A,1249.0
AMD Radeon HD 7970M,74.0
ATI Radeon HD 4730,60.0
NVIDIA GeForce 800M,1499.0
NVIDIA GeForce GTX 1060 5 GB,60.0
AMD FirePro M5950,399.0
AMD Radeon R5 220 OEM,299.0
NVIDIA Quadro M5000,395.0
NVIDIA Quadro FX 380,99.0
ATI Radeon HD 2600 XT Mac Edition,60.0
NVIDIA GeForce GT 120 OEM,990.0
ATI Radeon HD 3200 IGP,139.0
ATI Mobility Radeon HD 4530,368.0
NVIDIA GeForce G210M,424.0
AMD FirePro V3900,60.0
NVIDIA GeForce 7950 GT,60.0
ATI Radeon HD 4290 IGP,139.0
AMD Radeon R9 M360,197.0
AMD Radeon HD 8760 OEM,74.0
NVIDIA GeForce GTX TITAN Z,740.0
AMD Radeon R9 M375X,60.0
NVIDIA Quadro P600,109.0
AMD FirePro W5000,205.0
AMD Radeon R7 340 OEM,175.0
NVIDIA Quadro FX 580,134.0
ATI FirePro V7800,189.0
AMD Radeon Pro WX 3100,169.0
AMD Radeon HD 6230,60.0
NVIDIA GeForce GTX 555 OEM,149.0
NVIDIA TITAN V,2450.0
NVIDIA GeForce GTX 1660 SUPER,164.0
AMD Radeon HD 7650A,74.0
NVIDIA Quadro FX 570,134.0
NVIDIA Quadro NVS 290,48.0
NVIDIA GeForce 9600M GT,1847.0
NVIDIA Tesla C2050,60.0
AMD Radeon RX 580X,29.0
NVIDIA GeForce 7600 GS,60.0
NVIDIA Quadro FX 5800,189.0
AMD FirePro M4100,119.0
NVIDIA GeForce 9600 GSO,424.0
AMD Radeon R7 350X OEM,299.0
AMD Radeon R5 M435,299.0
AMD FirePro W7000,285.0
AMD Radeon HD 8870 OEM,74.0
AMD Radeon HD 8670 OEM,74.0
NVIDIA Quadro RTX 4000,699.0
NVIDIA GeForce 8800 GS,60.0
AMD Radeon R9 M295X,60.0
NVIDIA Quadro M2000M,569.0
NVIDIA GeForce GT 735M,424.0
AMD Radeon R7 M440,299.0
AMD Radeon Pro WX 5100,425.0
AMD FirePro W4100,130.0
AMD FirePro W4300,199.0
NVIDIA GeForce GTX 950A,149.0
NVIDIA Quadro FX 5600,964.0
NVIDIA Quadro P620,149.0
NVIDIA Quadro M620 Mobile,647.0
AMD FirePro W2100,119.0
AMD Radeon HD 6750,368.0
AMD Radeon HD 8550 OEM,74.0
AMD FirePro M2000,159.0
NVIDIA GeForce 930A,424.0
NVIDIA GeForce 8800 GTX,60.0
NVIDIA Quadro P4200 Mobile,1049.0
NVIDIA Quadro 4100,60.0
AMD Radeon Pro WX 7100,760.0
NVIDIA GeForce GTX 1650 Max-Q,920.0
NVIDIA Quadro M6000,499.0
NVIDIA Quadro K2100M,484.0
AMD FirePro W5100,139.0
NVIDIA NVS 5100M,119.0
ATI Mobility Radeon HD 545v,368.0
Intel UHD Graphics 605,599.0
NVIDIA GeForce MX230,675.0
AMD Radeon HD 6650M,74.0
AMD Radeon HD 6450A,69.0
ATI Radeon HD 4520,60.0
NVIDIA Quadro K3100M,239.0
NVIDIA GeForce GT 240M,155.0
AMD Radeon HD 8730M,74.0
AMD Radeon R9 M265X,351.0
NVIDIA Quadro FX 3700,122.0
AMD Radeon Pro 575,689.0
NVIDIA GeForce GTX 1060 6 GB GDDR5X,60.0
AMD Radeon Pro Vega 64,59.0
